,1_Сокольническая,2_Замоскворецкая,3_Арбатско-Покровская,4_Филёвская,5_Кольцевая,6_Калужско,7_Таганско-Краснопресненская,8_Калининская,8A_Солнцевская,9_Серпуховско-Тимирязевская,10_Люблинско-Дмитровская,11_Большая кольцевая,11A_Каховская,12_Бутовская,15_Некрасовская
1_Сокольническая,0,1,2,1,2,1,1,0,0,1,1,0,0,0,0
2_Замоскворецкая,1,0,1,0,2,1,1,1,1,1,1,1,1,0,0
3_Арбатско-Покровская,2,1,0,3,2,0,0,0,1,1,1,0,0,0,0
4_Филёвская,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0
5_Кольцевая,2,2,2,1,0,2,2,1,0,2,1,0,0,0,0
6_Калужско-Рижская,1,1,0,0,2,0,1,1,0,0,1,0,0,1,0
7_Таганско-Краснопресненская,1,1,0,0,2,1,0,1,1,1,1,1,0,0,1
8_Калининская,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
8A_Солнцевская,0,1,1,0,0,0,1,0,0,1,0,4,0,0,0
9_Серпуховско-Тимирязевская,1,1,1,1,2,0,1,0,1,0,2,1,0,1,0
10_Люблинско-Дмитровская,1,1,1,0,1,1,1,1,0,2,0,0,0,0,0
11_Большая кольцевая,0,1,0,1,0,0,1,0,4,1,0,0,0,0,0
11A_Каховская,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12_Бутовская,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15_Некрасовская,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
